agent_id,name,email,phone,branch_id,team_id,products_allowed,status
Aee0f1c,Lisa Allen,andrea86@walker.info,274-846-7737,B108,Tdeaf0d,"['P102', 'P103', 'P105', 'P104', 'P101']",active
Ad50369,Janet Weeks,hillkristy@morgan-french.com,4499727875,B106,T9316d4,"['P105', 'P107']",active
Af2ad56,Phillip Bennett,tinaallen@yahoo.com,605.766.2702,B101,T53f16f,"['P106', 'P105', 'P100', 'P104']",active
A85ae7e,Leslie Kane,foxstephen@hotmail.com,(621)745-9615,B102,T74bf2a,"['P109', 'P105', 'P108', 'P102']",active
A1cdd49,Shannon James,cbrennan@hotmail.com,343-161-1724,B108,Taca0a3,"['P103', 'P109', 'P101']",active
A7c5aa6,Amber Flynn,nicholas23@hotmail.com,(922)219-6937x92374,B105,T4ef091,"['P102', 'P108']",active
A32ac50,Michael Nolan,erica21@yahoo.com,(946)474-3671x369,B104,T0c1ead,"['P106', 'P103']",active
Ae2c296,Edward Lyons,khill@osborne.info,395-339-4210x4709,B102,T74bf2a,"['P109', 'P105', 'P107']",active
A697fde,Carlos Browning,ithompson@hotmail.com,(884)247-4517x123,B103,T07a9d3,"['P107', 'P103', 'P105', 'P102']",active
Ac1c311,Misty Whitney,gibbsalexander@hotmail.com,754-965-1370,B102,T560871,"['P100', 'P105']",active
Ad2722f,Terri Murphy,reidsteven@turner.com,711-382-6758x6926,B105,T4ef091,"['P108', 'P107', 'P100']",active
Abef6a3,Sandra Gilbert,vaughnjeff@yahoo.com,515.850.6431,B106,T9316d4,"['P102', 'P103']",active
